Year,Events,Total_Deaths,Total_Affected,Decade,Notes
1965,1,6,300000,1965-79,
1967,1,50,140000,1965-79,
1970,1,61,243000,1965-79,
1978,1,0,3000,1965-79,
1983,1,10,15000,1980s,
1986,1,11,25000,1980s,
1987,1,3,2576,1980s,
1988,1,27,60000,1980s,
1993,1,30,25000,1990s,
1996,1,0,418,1990s,
1998,1,0,2500,1990s,
1999,1,1,2000,1990s,
2000,1,12,8000,2000s,
2001,4,11,33200,2000s,
2003,3,8,18800,2000s,
2004,3,16,31038,2000s,
2005,2,13,30600,2000s,
2006,4,6,106518,2000s,Johor mega-floods start
2007,2,46,166533,2000s,Johor mega-floods
2008,2,0,8000,2000s,
2009,2,0,10875,2000s,
2011,1,2,20000,2010s,
2013,1,4,75000,2010s,
2014,1,17,230000,2010s,Kelantan catastrophic floods
2015,1,1,3000,2010s,
2016,4,0,31841,2010s,
2017,3,9,21981,2010s,
2018,2,2,16900,2010s,
2019,4,2,22477,2010s,
2020,5,0,21883,2020s,
2021,8,79,164641,2020s,Historic Selangor/KL floods
2022,5,17,90625,2020s,
2023,4,6,84187,2020s,
2024,2,5,137410,2020s, 2024 supplement  DOSM/IFRC so
