Month,Month_Num,Season,Total_Events,Total_Affected,Theta,Theta2,Inner_R1,Inner_R2,Outer_R1,Outer_R2
Jan,1,NE Monsoon,13,371802,-1.5707963267948966,-1.0471975511965976,80,129.5,165,253.3
Feb,2,NE Monsoon,6,88854,-1.0471975511965976,-0.5235987755982988,80,102.9,165,186.1
Mar,3,Transition,2,10428,-0.5235987755982988,0.0,80,87.6,165,167.5
Apr,4,Transition,2,2500,0.0,0.5235987755982988,80,87.6,165,165.6
May,5,SW Monsoon,1,5782,0.5235987755982988,1.0471975511965976,80,83.8,165,166.4
Jun,6,SW Monsoon,3,11210,1.0471975511965976,1.5707963267948966,80,91.4,165,167.7
Jul,7,SW Monsoon,3,1269,1.5707963267948966,2.0943951023931953,80,91.4,165,165.3
Aug,8,SW Monsoon,2,14828,2.0943951023931953,2.6179938779914944,80,87.6,165,168.5
Sep,9,Transition,1,255,2.6179938779914944,3.141592653589793,80,83.8,165,165.1
Oct,10,Transition,6,22812,3.141592653589793,3.6651914291880923,80,102.9,165,170.4
Nov,11,NE Monsoon,14,175263,3.6651914291880923,4.1887902047863905,80,133.3,165,206.6
Dec,12,NE Monsoon,21,1309590,4.1887902047863905,4.71238898038469,80,160.0,165,260.0
