State,Latitude,Longitude,Event_Count,Total_Affected,Avg_Affected_per_Event
Johor,1.86,103.50,19,874814,46043
Kedah,6.12,100.37,6,52505,8751
Kelantan,5.38,102.02,18,650813,36156
Kuala Lumpur,3.14,101.69,7,214902,30700
Melaka,2.19,102.25,9,245072,27230
Negeri Sembilan,2.73,102.03,5,224702,44940
Pahang,3.81,103.32,19,904288,47594
Perak,4.59,101.09,11,493869,44897
Perlis,6.44,100.18,3,262412,87470
Pulau Pinang,5.41,100.34,3,9019,3006
Sabah,5.98,116.07,8,425364,53171
Sarawak,2.11,113.44,7,32037,4577
Selangor,3.07,101.52,8,410776,51347
Terengganu,5.31,102.79,18,648106,36006
Labuan,5.28,115.24,0,0,0
Putrajaya,2.93,101.69,0,0,0
