State,Era,Events,Total_Affected
Pahang,Pre-2000,0,0
Pahang,2000-2014,9,614239
Pahang,2015-2024,10,290049
Johor,Pre-2000,0,0
Johor,2000-2014,8,601783
Johor,2015-2024,11,273031
Kelantan,Pre-2000,0,0
Kelantan,2000-2014,9,396699
Kelantan,2015-2024,9,254114
Terengganu,Pre-2000,0,0
Terengganu,2000-2014,9,396699
Terengganu,2015-2024,9,251407
Perak,Pre-2000,0,0
Perak,2000-2014,4,275593
Perak,2015-2024,7,218276
Sabah,Pre-2000,0,0
Sabah,2000-2014,1,230000
Sabah,2015-2024,7,195364
Selangor,Pre-2000,0,0
Selangor,2000-2014,1,230000
Selangor,2015-2024,7,180776
Perlis,Pre-2000,0,0
Perlis,2000-2014,2,260000
Perlis,2015-2024,1,2412
Melaka,Pre-2000,0,0
Melaka,2000-2014,1,100000
Melaka,2015-2024,8,145072
Negeri Sembilan,Pre-2000,0,0
Negeri Sembilan,2000-2014,1,100000
Negeri Sembilan,2015-2024,4,124702
